nohup: ignoring input
group_aggregation_bridge was used
gt deep supervision was used
Training on 1 GPUs.
Epoch [1/150], Train Loss: 3.9801,Train Dice Score: 0.3648, Val Loss: 3.2026,Val Dice Score: 0.3928
Epoch [2/150], Train Loss: 3.1923,Train Dice Score: 0.4395, Val Loss: 2.9942,Val Dice Score: 0.4548
Epoch [3/150], Train Loss: 2.9686,Train Dice Score: 0.4814, Val Loss: 3.0401,Val Dice Score: 0.4547
Epoch [4/150], Train Loss: 2.8531,Train Dice Score: 0.5015, Val Loss: 2.7533,Val Dice Score: 0.4680
Epoch [5/150], Train Loss: 2.6970,Train Dice Score: 0.5298, Val Loss: 2.6752,Val Dice Score: 0.4914
Epoch [6/150], Train Loss: 2.6295,Train Dice Score: 0.5413, Val Loss: 2.7112,Val Dice Score: 0.4824
Epoch [7/150], Train Loss: 2.5547,Train Dice Score: 0.5523, Val Loss: 2.7583,Val Dice Score: 0.4743
Epoch [8/150], Train Loss: 2.5707,Train Dice Score: 0.5518, Val Loss: 2.6013,Val Dice Score: 0.5024
Epoch [9/150], Train Loss: 2.4558,Train Dice Score: 0.5717, Val Loss: 2.3865,Val Dice Score: 0.5506
Epoch [10/150], Train Loss: 2.3499,Train Dice Score: 0.5924, Val Loss: 2.4334,Val Dice Score: 0.5415
Epoch [11/150], Train Loss: 2.3809,Train Dice Score: 0.5890, Val Loss: 2.2562,Val Dice Score: 0.5859
Epoch [12/150], Train Loss: 2.2675,Train Dice Score: 0.6091, Val Loss: 2.3495,Val Dice Score: 0.5677
Epoch [13/150], Train Loss: 2.2428,Train Dice Score: 0.6127, Val Loss: 2.3208,Val Dice Score: 0.5651
Epoch [14/150], Train Loss: 2.1678,Train Dice Score: 0.6239, Val Loss: 2.3699,Val Dice Score: 0.5755
Epoch [15/150], Train Loss: 2.1278,Train Dice Score: 0.6307, Val Loss: 2.1709,Val Dice Score: 0.5957
Epoch [16/150], Train Loss: 2.1175,Train Dice Score: 0.6335, Val Loss: 2.1993,Val Dice Score: 0.5962
Epoch [17/150], Train Loss: 2.0761,Train Dice Score: 0.6421, Val Loss: 2.0290,Val Dice Score: 0.6347
Epoch [18/150], Train Loss: 2.0156,Train Dice Score: 0.6516, Val Loss: 2.1708,Val Dice Score: 0.6091
Epoch [19/150], Train Loss: 1.9757,Train Dice Score: 0.6576, Val Loss: 2.0540,Val Dice Score: 0.6315
Epoch [20/150], Train Loss: 2.0021,Train Dice Score: 0.6560, Val Loss: 1.9373,Val Dice Score: 0.6452
Epoch [21/150], Train Loss: 1.9551,Train Dice Score: 0.6644, Val Loss: 1.9926,Val Dice Score: 0.6408
Epoch [22/150], Train Loss: 1.9067,Train Dice Score: 0.6706, Val Loss: 1.9713,Val Dice Score: 0.6512
Epoch [23/150], Train Loss: 1.8404,Train Dice Score: 0.6876, Val Loss: 2.0721,Val Dice Score: 0.6352
Epoch [24/150], Train Loss: 1.8114,Train Dice Score: 0.6881, Val Loss: 1.9967,Val Dice Score: 0.6525
Epoch [25/150], Train Loss: 1.7476,Train Dice Score: 0.7022, Val Loss: 2.1012,Val Dice Score: 0.6331
Epoch [26/150], Train Loss: 1.7361,Train Dice Score: 0.7034, Val Loss: 1.8580,Val Dice Score: 0.6819
Epoch [27/150], Train Loss: 1.6819,Train Dice Score: 0.7124, Val Loss: 1.8605,Val Dice Score: 0.6802
Epoch [28/150], Train Loss: 1.6933,Train Dice Score: 0.7123, Val Loss: 1.9925,Val Dice Score: 0.6604
Epoch [29/150], Train Loss: 1.7222,Train Dice Score: 0.7066, Val Loss: 2.0711,Val Dice Score: 0.6501
Epoch [30/150], Train Loss: 1.6832,Train Dice Score: 0.7127, Val Loss: 2.2323,Val Dice Score: 0.6243
Epoch [31/150], Train Loss: 1.7477,Train Dice Score: 0.7013, Val Loss: 2.0290,Val Dice Score: 0.6595
